ARQUIVO,VALOR,DESCRICAO,CLASSIFICACAO,MOTIVO_ERRO
00000083-PHOTO-2025-05-07-18-55-58.jpg,,,,Imagem ilegível ou em branco
00000148-PHOTO-2025-05-27-21-41-51.jpg,,Pagamento,Transferência,
00000159-PHOTO-2025-05-31-15-28-58.jpg,,Pagamento,Transferência,
00000166-PHOTO-2025-06-06-18-05-36.jpg,,Pagamento,Transferência,
00000093-PHOTO-2025-05-09-17-40-20.jpg,,Pagamento,Pagamento,
00000040-PHOTO-2025-04-23-16-51-49.jpg,,Pagamento,Transferência,
00000157-PHOTO-2025-05-31-14-16-01.jpg,,Pagamento,Transferência,
00000205-PHOTO-2025-07-06-10-50-08.jpg,,Pagamento,Transferência,
00000164-PHOTO-2025-06-04-10-26-46.jpg,,Pagamento,Pagamento,
00000044-PHOTO-2025-04-24-11-34-52.jpg,,Pagamento,Transferência,
00000010-PHOTO-2025-04-21-11-16-16.jpg,,Pagamento,Transferência,
00000073-PHOTO-2025-05-05-14-34-39.jpg,,Pagamento,Pagamento,
00000173-PHOTO-2025-06-10-11-38-45.jpg,,Pagamento,Pagamento,
00000196-PHOTO-2025-06-28-11-42-37.jpg,,Pagamento,Transferência,
00000048-PHOTO-2025-04-24-20-02-33.jpg,,Pagamento,Transferência,
00000121-PHOTO-2025-05-17-20-36-31.jpg,,Pagamento,Pagamento,
00000110-PHOTO-2025-05-14-19-09-03.jpg,,Pagamento,Pagamento,
00000044-PHOTO-2025-04-24-11-34-53.jpg,,Pagamento,Transferência,
00000158-PHOTO-2025-05-31-14-16-11.jpg,,Pagamento,Pagamento,
00000125-PHOTO-2025-05-18-18-27-13.jpg,,Pagamento,Transferência,
00000123-PHOTO-2025-05-18-14-01-38.jpg,,Pagamento,Transferência,
00000027-PHOTO-2025-04-21-18-52-09.jpg,,Pagamento,Transferência,
00000077-PHOTO-2025-05-05-20-00-47.jpg,,Pagamento,Pagamento,
00000063-PHOTO-2025-05-03-10-48-48.jpg,,Pagamento,Pagamento,
00000116-PHOTO-2025-05-16-19-01-36.jpg,,Pagamento,Transferência,
00000120-PHOTO-2025-05-17-19-34-25.jpg,,Pagamento,Transferência,
00000128-PHOTO-2025-05-19-14-35-24.jpg,,Pagamento,Transferência,
00000137-PHOTO-2025-05-20-11-04-28.jpg,,Pagamento,Pagamento,
00000076-PHOTO-2025-05-05-19-26-56.jpg,,Pagamento,Transferência,
00000100-PHOTO-2025-05-12-16-42-22.jpg,,Pagamento,Pagamento,
00000167-PHOTO-2025-06-06-18-06-01.jpg,,,,Imagem ilegível ou em branco
00000019-PHOTO-2025-04-21-13-48-29.jpg,,Pagamento,Transferência,
00000162-PHOTO-2025-06-02-14-45-58.jpg,,Pagamento,Pagamento,
00000150-PHOTO-2025-05-27-22-30-11.jpg,,Pagamento,Pagamento,
00000074-PHOTO-2025-05-05-18-27-25.jpg,,Pagamento,Transferência,
00000188-PHOTO-2025-06-21-13-27-40.jpg,,Pagamento,Pagamento,
00000062-PHOTO-2025-05-03-10-44-17.jpg,,Pagamento,Transferência,
00000193-PHOTO-2025-06-21-17-57-04.jpg,,Pagamento,Transferência,
00000090-PHOTO-2025-05-09-09-04-09.jpg,,Pagamento,Pagamento,
00000172-Fatura_Vivo_undefined_1369591771-AMD.pdf,,Pagamento,Transferência,
00000152-PHOTO-2025-05-28-09-50-37.jpg,,Pagamento,Pagamento,
00000214-PHOTO-2025-07-13-16-09-09.jpg,,Pagamento,Transferência,
00000191-PHOTO-2025-06-21-13-31-37.jpg,,Pagamento,Pagamento,
00000061-2025-05-02_110443.pdf,,Pagamento,Pagamento,
00000130-PHOTO-2025-05-19-15-05-24.jpg,,Pagamento,Transferência,
00000163-PHOTO-2025-06-04-09-51-40.jpg,,Pagamento,Pagamento,
00000169-PHOTO-2025-06-08-18-00-09.jpg,,Pagamento,Transferência,
00000097-PHOTO-2025-05-11-19-35-57.jpg,,Pagamento,Transferência,
00000168-PHOTO-2025-06-08-16-51-06.jpg,,Pagamento,Transferência,
00000107-PHOTO-2025-05-14-13-01-05.jpg,,Pagamento,Transferência,
00000067-PHOTO-2025-05-04-11-15-22.jpg,,Pagamento,Transferência,
00000155-PHOTO-2025-05-30-14-06-32.jpg,,Pagamento,Transferência,
00000141-PHOTO-2025-05-23-18-48-32.jpg,,Pagamento,Transferência,
00000064-PHOTO-2025-05-03-19-31-20.jpg,,Pagamento,Pagamento,
00000206-PHOTO-2025-07-06-10-55-54.jpg,,Pagamento,Pagamento,
00000135-PHOTO-2025-05-19-19-21-04.jpg,,,,Imagem ilegível ou em branco
00000045-PHOTO-2025-04-24-11-57-46.jpg,,Pagamento,Pagamento,
00000020-PHOTO-2025-04-21-13-51-00.jpg,,Pagamento,Pagamento,
00000177-PHOTO-2025-06-10-18-53-18.jpg,,Pagamento,Transferência,
00000114-PHOTO-2025-05-15-14-11-25.jpg,,Pagamento,Transferência,
00000039-PHOTO-2025-04-23-14-51-51.jpg,,Pagamento,Pagamento,
00000109-PHOTO-2025-05-14-18-40-28.jpg,,Pagamento,Transferência,
00000091-PHOTO-2025-05-09-11-52-29.jpg,,Pagamento,Transferência,
00000018-PHOTO-2025-04-21-12-10-31.jpg,,Pagamento,Pagamento,
00000216-PHOTO-2025-07-13-18-00-38.jpg,,Pagamento,Transferência,
00000219-PHOTO-2025-07-13-19-13-24.jpg,,Pagamento,Pagamento,
00000144-PHOTO-2025-05-26-17-27-02.jpg,,Pagamento,Transferência,
00000197-CLAUDIA MARIA MALNATI FATURA.pdf,,Pagamento,Transferência,
00000038-PHOTO-2025-04-23-13-40-38.jpg,,Pagamento,Transferência,
00000126-PHOTO-2025-05-18-19-00-48.jpg,,Pagamento,Transferência,
00000201-PHOTO-2025-07-01-20-27-26.jpg,,Pagamento,Transferência,
00000200-PHOTO-2025-06-28-17-06-21.jpg,,Pagamento,Transferência,
00000045-PHOTO-2025-04-24-11-57-45.jpg,,Pagamento,Pagamento,
00000190-PHOTO-2025-06-21-13-31-27.jpg,,Pagamento,Transferência,
00000037-PHOTO-2025-04-22-20-10-27.jpg,,Pagamento,Transferência,
00000180-PHOTO-2025-06-14-09-37-35.jpg,,Pagamento,Transferência,
00000047-PHOTO-2025-04-24-19-06-52.jpg,,Pagamento,Transferência,
00000138-PHOTO-2025-05-20-19-01-49.jpg,,Pagamento,Transferência,
